[ 1833288ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1838105ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1843189ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1847433ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1851097ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1854301ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1857999ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1862920ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1866001ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1871264ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1874159ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1878116ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1880850ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1884835ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1888542ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1890752ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1893644ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1899639ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1902308ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1905308ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1909428ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
[ 1913826ms] [ERROR] WebSocket connection to 'ws://localhost:3003/' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3003/@vite/client:1034
